cycle,pc,instruction,rd,rs1,rs2,result
4,0x0000,ADDI,a0,x0,-,"256"
5,0x0004,VLOAD,V1,a0,-,"[10, 20, 30, 40]"
7,0x0008,VADD,V2,V1,V1,"[20, 40, 60, 80]"
8,0x0008,VADD,V2,V1,V1,"[20, 40, 60, 80]"
9,0x000c,VMUL,V3,V2,V1,"[200, 800, 1800, 3200]"
10,0x0010,VMAC,V4,V3,V2,"[4000, 32000, 108000, 256000]"
11,0x0014,VREDMAX,a1,V4,-,"256000"
12,0x0018,ADDI,a2,a1,-,"1"
13,0x001c,ADDI,a3,x0,-,"5"
14,0x0020,VLOAD,V5,a3,-,"[1996490096, -150990719, 1996493089, -150986318]"
16,0x0024,VADD,V6,V5,V4,"[1996494096, -150958719, 1996601089, -150730318]"
17,0x0024,VADD,V6,V5,V4,"[1996494096, -150958719, 1996601089, -150730318]"
18,0x0028,VLOAD,V7,a0,-,"[0, 0, 0, 0]"
19,0x002c,VLOAD,V0,a0,-,"[0, 0, 0, 0]"
21,0x0030,VADD,V5,V7,V0,"[0, 0, 0, 0]"
22,0x0030,VADD,V5,V7,V0,"[0, 0, 0, 0]"
23,0x0034,VADD,V6,V7,V1,"[10, 20, 30, 40]"
24,0x0038,VCLR,V0,x0,-,"[0, 0, 0, 0]"
25,0x003c,VMAC,V0,V1,V1,"[100, 400, 900, 1600]"
26,0x0040,VMAC,V0,V2,V2,"[500, 2000, 4500, 8000]"
27,0x0044,VMAC,V0,V3,V3,"[40500, 642000, 3244500, 10248000]"
28,0x0048,VLOAD,V7,a0,-,"[0, 0, 0, 0]"
30,0x004c,VRELU,V7,t2,-,"[0, 0, 0, 0]"
31,0x004c,VRELU,V7,t2,-,"[0, 0, 0, 0]"
32,0x0050,VADD,V0,V0,V0,"[81000, 1284000, 6489000, 20496000]"
33,0x0054,VSTORE,-,a0,V6,"stored"
34,0x0058,VLOAD,V1,a0,-,"[10, 20, 30, 40]"
35,0x005c,VLOAD,V2,a0,-,"[0, 0, 0, 0]"
37,0x0060,VADD,V3,V2,V1,"[10, 20, 30, 40]"
38,0x0060,VADD,V3,V2,V1,"[10, 20, 30, 40]"
39,0x0064,VMUL,V4,V3,V2,"[0, 0, 0, 0]"
40,0x0068,VMAC,V0,V4,V2,"[81000, 1284000, 6489000, 20496000]"
41,0x006c,VARGMAX,a4,V0,-,"3"
42,0x0070,ADDI,a5,a4,-,"0"
43,0x0074,ADDI,a6,a5,-,"10"
44,0x0078,VREDMAX,a7,V0,-,"20496000"
45,0x007c,VREDMAX,s2,V1,-,"40"
