cycle,pc,instruction,rd,rs1,rs2,result
1,0x0000,LUI,a0,x0,-,"4096"
2,0x0004,LUI,a1,x0,-,"4096"
3,0x0008,ADDI,a1,a1,-,"4352"
4,0x000c,LUI,a2,x0,-,"4096"
5,0x0010,ADDI,a2,a2,-,"4608"
6,0x0014,LUI,a3,x0,-,"4096"
7,0x0018,ADDI,a3,a3,-,"4864"
8,0x001c,VLOAD,V0,a1,-,"[10, 20, 30, 40]"
9,0x0020,VLOAD,V6,a2,-,"[1, 2, 3, 4]"
10,0x0024,VLOAD,V1,a0,-,"[1, 0, 0, 0]"
11,0x0028,VMAC,V6,V1,V0,"[11, 2, 3, 4]"
12,0x002c,VLOAD,V1,a0,-,"[0, 2, 0, 0]"
13,0x0030,VMAC,V6,V1,V0,"[11, 42, 3, 4]"
14,0x0034,VLOAD,V1,a0,-,"[0, 0, 3, 0]"
15,0x0038,VMAC,V6,V1,V0,"[11, 42, 93, 4]"
16,0x003c,VLOAD,V1,a0,-,"[0, 0, 0, 4]"
17,0x0040,VMAC,V6,V1,V0,"[11, 42, 93, 164]"
18,0x0044,VRELU,V6,t1,-,"[11, 42, 93, 164]"
19,0x0048,VSTORE,-,a3,V6,"stored"
20,0x004c,VREDMAX,s4,V6,-,"164"
21,0x0050,VARGMAX,s5,V6,-,"3"
22,0x0050,HALT,-,x0,-,"-"
